""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"D171"	"Doxycycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D172"	"Minocycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D173"	"Oxytetracycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D174"	"Tetracycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D175"	"Lymecycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D318"	"Tobramycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D319"	"Tigecycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D320"	"Arbekacin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D321"	"Paromomycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D330"	"Rolitetracycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D331"	"Methacycline Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D332"	"Lincomycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D333"	"Chloramphenicol Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D334"	"Troleandomycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D335"	"Josamycin Action Pathway"	"HMDB0000161;HMDB0000162;HMDB0000883;HMDB0000168;HMDB0000167;HMDB0000687;HMDB0000696;HMDB0000177;HMDB0000172"	0.00350881545009119	0.207873607205402	9	20	0.564516129032258
"D18"	"Caffeine Metabolism"	"HMDB0001889;HMDB0001860;HMDB0010738;HMDB0001991;HMDB0011103"	0.00803969821598538	0.463763644458946	5	25	0.683512544802867
"D340"	"Sarcosine Oncometabolite Pathway"	"HMDB0000097;HMDB0000043;HMDB0000092;HMDB0000696;HMDB0000271;HMDB0000123;HMDB0000187"	0.0108710002174398	0.611005960939181	7	26	0.575268817204301
"D13"	"Arginine and Proline Metabolism"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D118"	"Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D134"	"Prolidase Deficiency (PD)"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D135"	"Prolinemia Type II"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D202"	"Hyperprolinemia Type II"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
"D203"	"Hyperprolinemia Type I"	"HMDB0000904;HMDB0000214;HMDB0000191;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000148;HMDB0000208;HMDB0001301;HMDB0000162;HMDB0000725;HMDB0000254;HMDB0000123;HMDB0000128;HMDB0000064;HMDB0000294;HMDB0002273"	0.0306964606246395	0.680543258087612	17	53	0.343242673413451
